source_id,total_score,percentile_rank,latent_distance,candidate_type,feature_flags,error_ra,error_dec,error_parallax,error_parallax_error,error_pmra,error_pmdec,error_radial_velocity,error_radial_velocity_error,error_ruwe,error_astrometric_excess_noise,error_astrometric_excess_noise_sig,error_ipd_frac_multi_peak,error_ipd_gof_harmonic_amplitude,error_visibility_periods_used,error_non_single_star,error_duplicated_source,error_distance,error_tangential_velocity,error_total_velocity
1986306410505344,0.7000,94.17,0.0000,astrometric_binary,dec|parallax_error|astrometric_excess_noise|astrometric_excess_noise_sig|ipd_frac_multi_peak|visibility_periods_used|non_single_star,0.0872,1.8905,0.4295,0.1613,0.0377,0.5429,0.1136,0.2530,0.0747,1.6197,9.0339,83.2420,0.0064,3.0810,0.7922,0.0707,1.7871,1.0294,0.3229
4443749258977920,0.7000,94.17,0.0000,quality_issue,parallax_error|ruwe|astrometric_excess_noise|ipd_frac_multi_peak|non_single_star,0.3831,1.0981,0.4656,0.1881,0.4812,1.1519,0.0954,0.1786,1.7914,1.3545,0.8663,61.2194,0.0344,0.6809,0.6710,0.0517,1.4375,0.3611,0.3045
4461513243479680,0.7000,94.17,0.0000,astrometric_binary,ra|dec|parallax|parallax_error|pmdec|radial_velocity_error|ruwe|astrometric_excess_noise|astrometric_excess_noise_sig|ipd_frac_multi_peak|ipd_gof_harmonic_amplitude|visibility_periods_used|non_single_star|duplicated_source|tangential_velocity|total_velocity,8.7809,17.2343,67.6157,5.1494,0.2881,11.3879,1.0165,12.4875,49.1656,96.8080,385.2712,8.8921,1.9889,396.5718,78.6175,19.2010,1.8791,35.3976,14.6072
5368026220866560,0.7000,94.17,0.0000,astrometric_binary,ra|dec|parallax|parallax_error|ruwe|astrometric_excess_noise|astrometric_excess_noise_sig|ipd_frac_multi_peak|ipd_gof_harmonic_amplitude|visibility_periods_used|non_single_star|duplicated_source|tangential_velocity|total_velocity,2.0478,3.5291,11.0456,0.4396,1.4978,1.6888,0.2731,2.0924,11.4773,13.6779,42.4273,1.6237,0.3697,51.1303,10.5731,2.7426,0.5877,6.2012,1.9385
5618676216630272,0.7000,94.17,0.0000,astrometric_binary,ra|dec|parallax|parallax_error|ruwe|astrometric_excess_noise|astrometric_excess_noise_sig|ipd_frac_multi_peak|ipd_gof_harmonic_amplitude|visibility_periods_used|non_single_star|duplicated_source|tangential_velocity|total_velocity,2.1434,3.3575,10.7756,0.4486,1.0584,1.6351,1.4069,3.9553,15.7282,14.6762,43.2330,1.6530,0.3960,54.9967,12.4627,2.9393,0.4533,5.5651,2.0752
286083477371648,0.7000,94.17,0.0000,astrometric_binary,ra|dec|parallax|parallax_error|pmdec|radial_velocity|radial_velocity_error|ruwe|astrometric_excess_noise|astrometric_excess_noise_sig|ipd_frac_multi_peak|ipd_gof_harmonic_amplitude|visibility_periods_used|non_single_star|duplicated_source|distance|tangential_velocity|total_velocity,2.9770,9.2319,26.0979,2.4055,0.6845,3.7464,1.9946,8.6744,31.3498,39.2385,183.6159,43.4929,0.8323,148.4185,31.2642,7.8225,2.9032,14.3230,6.1852
896106271727872,0.7000,94.17,0.0000,astrometric_binary,dec|parallax_error|radial_velocity_error|ruwe|astrometric_excess_noise|astrometric_excess_noise_sig|ipd_frac_multi_peak|ipd_gof_harmonic_amplitude|visibility_periods_used|non_single_star|tangential_velocity|total_velocity,0.2223,2.4463,2.3965,0.3484,0.0973,0.9935,0.8954,7.3201,2.2135,3.8260,30.6454,87.1558,0.1677,6.5906,1.7207,0.0294,1.2681,2.6550,1.6971
3206386360608000,0.7000,94.17,0.0000,astrometric_binary,ra|dec|parallax|parallax_error|pmra|pmdec|radial_velocity|radial_velocity_error|ruwe|astrometric_excess_noise|astrometric_excess_noise_sig|ipd_frac_multi_peak|ipd_gof_harmonic_amplitude|visibility_periods_used|non_single_star|duplicated_source|distance|tangential_velocity|total_velocity,70.8892,148.8586,577.4540,49.8167,16.1099,90.1119,4.8106,106.4698,282.1574,851.6947,3665.8599,20.1315,16.6789,3511.0393,682.2711,168.5571,28.4557,296.8226,119.1953
3940550890360320,0.7000,94.17,0.0000,quality_issue,ipd_frac_multi_peak|ipd_gof_harmonic_amplitude|visibility_periods_used,0.3620,0.9005,0.6233,0.0259,1.5155,0.3622,0.0740,1.0760,0.2531,0.3622,0.6379,21.6354,0.1391,6.3158,0.2700,0.2008,0.9089,1.6325,0.0617
4487454845940864,0.7000,94.17,0.0000,astrometric_binary,dec|parallax|parallax_error|ruwe|astrometric_excess_noise|astrometric_excess_noise_sig|ipd_frac_multi_peak|ipd_gof_harmonic_amplitude|visibility_periods_used|non_single_star|duplicated_source|tangential_velocity,1.2222,2.4664,8.4452,0.2043,0.1989,1.1282,0.6998,3.5553,13.7422,11.0048,26.9525,1.2758,0.3611,39.3247,9.5848,2.1943,0.2359,3.2593,0.4826
